Date,Spark30S_Atlantic_USD_day,Spark25S_Pacific_USD_day,Spread_USD_day
2024-05-14,31381.26,48358.41,16977.15
2024-05-15,37981.77,38755.42,773.65
2024-05-16,34557.82,45034.65,10476.83
2024-05-17,33290.26,43970.72,10680.46
2024-05-18,36661.89,46725.79,10063.9
2024-05-19,31489.85,42731.02,11241.17
2024-05-20,32640.25,44064.36,11424.11
2024-05-21,37967.2,40237.04,2269.84
2024-05-22,31076.74,38053.3,6976.56
2024-05-23,32018.51,43673.94,11655.43
2024-05-24,33142.76,42391.64,9248.88
2024-05-25,36218.97,42435.9,6216.93
2024-05-26,30890.03,44408.3,13518.27
2024-05-27,25738.51,45035.69,19297.18
2024-05-28,28451.24,44540.65,16089.41
2024-05-29,29973.35,44715.55,14742.2
2024-05-30,31138.75,50965.88,19827.13
2024-05-31,32553.89,49186.36,16632.47
2024-06-01,29705.08,48339.97,18634.89
2024-06-02,30774.71,50106.66,19331.95
2024-06-03,31966.1,51841.84,19875.74
2024-06-04,28995.12,53629.3,24634.18
2024-06-05,36629.21,53575.17,16945.96
2024-06-06,37920.6,48164.08,10243.48
2024-06-07,32411.82,51607.02,19195.2
2024-06-08,34835.86,46350.72,11514.86
2024-06-09,30484.11,45952.17,15468.06
2024-06-10,33607.17,42408.7,8801.53
2024-06-11,37897.57,41276.75,3379.18
2024-06-12,33836.46,41424.26,7587.8
2024-06-13,37313.36,41523.17,4209.81
2024-06-14,38236.89,41903.04,3666.15
2024-06-15,40702.91,45810.27,5107.36
2024-06-16,47220.04,45837.03,-1383.01
2024-06-17,44516.53,43759.65,-756.88
2024-06-18,40050.83,45507.16,5456.33
2024-06-19,35490.45,47749.3,12258.85
2024-06-20,31683.85,42510.06,10826.21
2024-06-21,31216.68,43264.64,12047.96
2024-06-22,32474.23,44250.79,11776.56
2024-06-23,33354.18,42138.66,8784.48
2024-06-24,36355.15,45254.9,8899.75
2024-06-25,35807.37,43480.42,7673.05
2024-06-26,41085.58,42709.31,1623.73
2024-06-27,38973.33,41119.2,2145.87
2024-06-28,49022.73,40254.73,-8768.0
2024-06-29,49701.34,36142.65,-13558.69
2024-06-30,44393.96,31412.78,-12981.18
2024-07-01,38776.54,36262.71,-2513.83
2024-07-02,39949.5,33307.24,-6642.26
2024-07-03,38197.6,30218.83,-7978.77
2024-07-04,40387.91,23958.9,-16429.01
2024-07-05,41414.31,22874.71,-18539.6
2024-07-06,40172.94,22000.0,-18172.94
2024-07-07,35979.98,27969.99,-8009.99
2024-07-08,29555.19,31455.29,1900.1
2024-07-09,28068.28,29507.88,1439.6
2024-07-10,31964.74,36587.5,4622.76
2024-07-11,32926.32,39158.49,6232.17
2024-07-12,27977.33,37564.73,9587.4
2024-07-13,29224.78,29619.56,394.78
2024-07-14,31222.83,36853.69,5630.86
2024-07-15,27972.1,32337.39,4365.29
2024-07-16,29225.4,27520.56,-1704.84
2024-07-17,30000.85,31205.42,1204.57
2024-07-18,25924.48,38790.21,12865.73
2024-07-19,28290.11,42467.75,14177.64
2024-07-20,31263.37,43334.85,12071.48
2024-07-21,36061.44,44226.97,8165.53
2024-07-22,40296.66,45825.8,5529.14
2024-07-23,34417.25,47001.98,12584.73
2024-07-24,30920.8,46648.76,15727.96
2024-07-25,33621.89,45822.07,12200.18
2024-07-26,36085.15,44600.57,8515.42
2024-07-27,38345.22,41450.75,3105.53
2024-07-28,53768.89,40060.12,-13708.77
2024-07-29,54562.51,34596.78,-19965.73
2024-07-30,57575.9,34489.39,-23086.51
2024-07-31,59602.9,31748.44,-27854.46
2024-08-01,60258.71,28963.75,-31294.96
2024-08-02,57024.99,30335.81,-26689.18
2024-08-03,58455.0,35235.49,-23219.51
2024-08-04,53658.96,38253.31,-15405.65
2024-08-05,51531.36,33532.73,-17998.63
2024-08-06,48667.86,31057.28,-17610.58
2024-08-07,48405.83,34651.69,-13754.14
2024-08-08,57147.98,32148.61,-24999.37
2024-08-09,48335.69,32201.75,-16133.94
2024-08-10,50666.85,34606.6,-16060.25
2024-08-11,43617.71,32249.34,-11368.37
2024-08-12,41885.94,33383.11,-8502.83
2024-08-13,46620.8,30120.03,-16500.77
2024-08-14,46833.96,29416.53,-17417.43
2024-08-15,42508.76,31582.68,-10926.08
2024-08-16,40117.42,27830.3,-12287.12
2024-08-17,43596.93,30590.5,-13006.43
2024-08-18,41141.25,31731.82,-9409.43
2024-08-19,42771.56,34513.36,-8258.2
2024-08-20,43608.88,36069.52,-7539.36
2024-08-21,41627.85,40929.71,-698.14
2024-08-22,51081.6,41626.6,-9455.0
2024-08-23,53604.81,40629.84,-12974.97
2024-08-24,45294.81,41428.25,-3866.56
2024-08-25,46717.96,43450.66,-3267.3
2024-08-26,44661.96,43828.77,-833.19
2024-08-27,48924.94,44185.96,-4738.98
2024-08-28,46238.66,42321.78,-3916.88
2024-08-29,46589.33,40803.77,-5785.56
2024-08-30,49441.33,37261.33,-12180.0
2024-08-31,53509.0,43572.93,-9936.07
2024-09-01,48963.78,40316.66,-8647.12
2024-09-02,48394.6,39082.83,-9311.77
2024-09-03,47379.16,37940.17,-9438.99
2024-09-04,45810.54,41796.37,-4014.17
2024-09-05,54132.96,41742.24,-12390.72
2024-09-06,56240.47,46366.8,-9873.67
2024-09-07,51533.17,44810.69,-6722.48
2024-09-08,56071.15,46313.39,-9757.76
2024-09-09,65032.22,44368.79,-20663.43
2024-09-10,68798.25,51606.39,-17191.86
2024-09-11,62040.27,48168.44,-13871.83
2024-09-12,60158.67,49613.22,-10545.45
2024-09-13,65529.9,51932.27,-13597.63
2024-09-14,62525.84,53406.54,-9119.3
2024-09-15,64488.33,52983.34,-11504.99
2024-09-16,67638.03,52816.25,-14821.78
2024-09-17,63726.71,53234.29,-10492.42
2024-09-18,63736.33,53085.73,-10650.6
2024-09-19,51078.17,56332.44,5254.27
2024-09-20,48613.45,63042.28,14428.83
2024-09-21,49542.5,60825.04,11282.54
2024-09-22,46457.73,56440.61,9982.88
2024-09-23,55262.04,56387.27,1125.23
2024-09-24,50995.42,64391.36,13395.94
2024-09-25,51175.42,61493.03,10317.61
2024-09-26,53679.96,66261.08,12581.12
2024-09-27,61235.4,70716.24,9480.84
2024-09-28,56585.8,68080.16,11494.36
2024-09-29,62856.07,69123.53,6267.46
2024-09-30,63946.19,73288.88,9342.69
2024-10-01,61018.68,71063.15,10044.47
2024-10-02,64216.44,69634.58,5418.14
2024-10-03,66100.05,67262.43,1162.38
2024-10-04,64655.7,63876.04,-779.66
2024-10-05,66093.04,61972.37,-4120.67
2024-10-06,65623.03,58582.61,-7040.42
2024-10-07,67251.86,59353.28,-7898.58
2024-10-08,70968.39,57681.94,-13286.45
2024-10-09,78064.56,59236.06,-18828.5
2024-10-10,73211.14,55312.61,-17898.53
2024-10-11,82381.4,57488.5,-24892.9
2024-10-12,74348.66,61001.21,-13347.45
2024-10-13,74374.46,55727.09,-18647.37
2024-10-14,77411.69,58129.77,-19281.92
2024-10-15,78969.0,62898.76,-16070.24
2024-10-16,76808.44,59924.4,-16884.04
2024-10-17,76574.36,65939.33,-10635.03
2024-10-18,75275.75,67637.0,-7638.75
2024-10-19,73772.59,65837.43,-7935.16
2024-10-20,78226.09,66209.82,-12016.27
2024-10-21,80313.81,68431.21,-11882.6
2024-10-22,78042.38,69027.1,-9015.28
2024-10-23,82416.86,70994.91,-11421.95
2024-10-24,84032.8,68430.52,-15602.28
2024-10-25,87556.87,69435.16,-18121.71
2024-10-26,90042.44,65632.21,-24410.23
2024-10-27,86491.13,66158.71,-20332.42
2024-10-28,84415.72,64295.78,-20119.94
2024-10-29,87822.56,63165.11,-24657.45
2024-10-30,90385.15,68102.76,-22282.39
2024-10-31,90209.81,72152.23,-18057.58
2024-11-01,90647.6,74389.7,-16257.9
2024-11-02,95724.92,71338.04,-24386.88
2024-11-03,92858.76,70957.75,-21901.01
2024-11-04,94874.33,75241.99,-19632.34
2024-11-05,93730.85,75921.14,-17809.71
2024-11-06,92678.65,83102.14,-9576.51
2024-11-07,97035.59,83823.42,-13212.17
2024-11-08,99900.67,83904.62,-15996.05
2024-11-09,102468.07,82509.5,-19958.57
2024-11-10,106782.24,82616.6,-24165.64
2024-11-11,105561.88,81889.1,-23672.78
2024-11-12,107141.29,83849.65,-23291.64
2024-11-13,104626.96,86392.88,-18234.08
2024-11-14,104934.01,83486.07,-21447.94
2024-11-15,103424.44,79265.95,-24158.49
2024-11-16,103004.83,73984.02,-29020.81
2024-11-17,104649.36,76293.35,-28356.01
2024-11-18,100504.56,73567.49,-26937.07
2024-11-19,108444.4,67994.82,-40449.58
2024-11-20,103223.42,70632.32,-32591.1
2024-11-21,97717.73,79347.17,-18370.56
2024-11-22,102276.72,79720.47,-22556.25
2024-11-23,104938.01,82616.59,-22321.42
2024-11-24,106686.02,82978.88,-23707.14
2024-11-25,108298.2,82787.85,-25510.35
2024-11-26,107207.88,85694.17,-21513.71
2024-11-27,102706.7,84705.44,-18001.26
2024-11-28,102567.01,85511.49,-17055.52
2024-11-29,99447.59,86422.02,-13025.57
2024-11-30,103266.41,84293.58,-18972.83
2024-12-01,102230.82,87379.07,-14851.75
2024-12-02,98600.2,86674.94,-11925.26
2024-12-03,97363.26,84318.06,-13045.2
2024-12-04,99200.44,86092.05,-13108.39
2024-12-05,96959.44,83401.36,-13558.08
2024-12-06,93919.68,83776.56,-10143.12
2024-12-07,95457.65,84018.44,-11439.21
2024-12-08,96856.03,87536.5,-9319.53
2024-12-09,95115.0,88883.69,-6231.31
2024-12-10,93698.73,88610.72,-5088.01
2024-12-11,95242.45,90906.36,-4336.09
2024-12-12,89916.24,94701.91,4785.67
2024-12-13,85289.08,95632.05,10342.97
2024-12-14,83883.63,94837.33,10953.7
2024-12-15,84640.58,90165.24,5524.66
2024-12-16,87420.1,86709.43,-710.67
2024-12-17,94579.27,85886.96,-8692.31
2024-12-18,98550.51,84241.15,-14309.36
2024-12-19,98051.97,84034.0,-14017.97
2024-12-20,98163.66,84584.05,-13579.61
2024-12-21,94325.81,86503.04,-7822.77
2024-12-22,94802.44,86433.54,-8368.9
2024-12-23,94144.42,88045.15,-6099.27
2024-12-24,95990.3,88231.84,-7758.46
2024-12-25,93043.33,82281.54,-10761.79
2024-12-26,95767.89,80035.34,-15732.55
2024-12-27,102263.08,80399.35,-21863.73
2024-12-28,101531.23,77529.15,-24002.08
2024-12-29,102901.92,80373.03,-22528.89
2024-12-30,105275.73,85722.35,-19553.38
2024-12-31,103032.15,89597.3,-13434.85
2025-01-01,103510.39,88787.15,-14723.24
2025-01-02,103079.0,93166.02,-9912.98
2025-01-03,103014.29,93075.5,-9938.79
2025-01-04,99455.51,91530.63,-7924.88
2025-01-05,99423.92,89304.33,-10119.59
2025-01-06,101269.68,88225.68,-13044.0
2025-01-07,106722.71,86989.16,-19733.55
2025-01-08,109641.24,87542.67,-22098.57
2025-01-09,117020.9,88001.06,-29019.84
2025-01-10,111956.85,87930.0,-24026.85
2025-01-11,113933.3,89155.88,-24777.42
2025-01-12,112930.69,92507.66,-20423.03
2025-01-13,120027.73,94787.54,-25240.19
2025-01-14,114395.28,89521.85,-24873.43
2025-01-15,109172.1,81560.63,-27611.47
2025-01-16,105403.35,84844.45,-20558.9
2025-01-17,95883.36,80879.71,-15003.65
2025-01-18,93676.93,80720.42,-12956.51
2025-01-19,90725.75,77722.88,-13002.87
2025-01-20,91675.05,73110.59,-18564.46
2025-01-21,93261.25,75970.21,-17291.04
2025-01-22,100792.01,79176.53,-21615.48
2025-01-23,103831.39,78034.06,-25797.33
2025-01-24,100421.38,70940.35,-29481.03
2025-01-25,96029.35,70667.77,-25361.58
2025-01-26,97600.08,73213.23,-24386.85
2025-01-27,91726.54,69867.91,-21858.63
2025-01-28,99007.74,71819.14,-27188.6
2025-01-29,102912.6,72953.74,-29958.86
2025-01-30,99791.59,75732.47,-24059.12
2025-01-31,91965.18,76827.31,-15137.87
2025-02-01,97147.02,74507.14,-22639.88
2025-02-02,95893.89,78899.65,-16994.24
2025-02-03,100131.64,78758.69,-21372.95
2025-02-04,92572.08,78995.92,-13576.16
2025-02-05,89703.43,76461.31,-13242.12
2025-02-06,89494.19,75619.25,-13874.94
2025-02-07,89426.24,73505.34,-15920.9
2025-02-08,87329.66,73706.27,-13623.39
2025-02-09,89686.52,79508.33,-10178.19
2025-02-10,84997.32,75446.02,-9551.3
2025-02-11,84428.91,71031.03,-13397.88
2025-02-12,84918.34,76277.22,-8641.12
2025-02-13,86885.13,75922.23,-10962.9
2025-02-14,89393.11,74187.83,-15205.28
2025-02-15,84253.88,77717.61,-6536.27
2025-02-16,77938.78,75921.11,-2017.67
2025-02-17,83449.92,81561.86,-1888.06
2025-02-18,84575.56,83156.5,-1419.06
2025-02-19,81212.02,81055.86,-156.16
2025-02-20,87329.5,87062.15,-267.35
2025-02-21,87038.98,84139.45,-2899.53
2025-02-22,90977.22,85512.71,-5464.51
2025-02-23,90019.33,85380.01,-4639.32
2025-02-24,97074.53,88227.26,-8847.27
2025-02-25,102146.59,91527.99,-10618.6
2025-02-26,98637.86,89868.59,-8769.27
2025-02-27,100305.42,85976.93,-14328.49
2025-02-28,100444.38,86072.26,-14372.12
2025-03-01,103405.09,82702.25,-20702.84
2025-03-02,96677.81,87699.45,-8978.36
2025-03-03,97169.19,86522.89,-10646.3
2025-03-04,99042.67,83914.6,-15128.07
2025-03-05,89401.65,83172.99,-6228.66
2025-03-06,82967.91,77865.63,-5102.28
2025-03-07,73694.7,74170.74,476.04
2025-03-08,72368.96,77316.34,4947.38
2025-03-09,75064.24,74530.07,-534.17
2025-03-10,80569.75,70806.73,-9763.02
2025-03-11,79752.0,72160.51,-7591.49
2025-03-12,85174.32,75279.91,-9894.41
2025-03-13,77959.64,76640.74,-1318.9
2025-03-14,70113.31,78650.17,8536.86
2025-03-15,69582.88,75153.33,5570.45
2025-03-16,70803.81,69964.14,-839.67
2025-03-17,70175.43,74016.13,3840.7
2025-03-18,61410.7,72143.56,10732.86
2025-03-19,61375.52,70626.31,9250.79
2025-03-20,56422.26,73950.27,17528.01
2025-03-21,59800.73,74578.21,14777.48
2025-03-22,61568.94,74794.5,13225.56
2025-03-23,57874.35,80068.58,22194.23
2025-03-24,56193.31,76341.7,20148.39
2025-03-25,52439.1,77653.52,25214.42
2025-03-26,52986.7,76173.58,23186.88
2025-03-27,57491.21,75428.22,17937.01
2025-03-28,53722.32,78488.86,24766.54
2025-03-29,56230.11,78133.38,21903.27
2025-03-30,54290.8,77856.67,23565.87
2025-03-31,51436.06,79162.13,27726.07
2025-04-01,51551.48,75976.57,24425.09
2025-04-02,47884.08,71638.75,23754.67
2025-04-03,46451.6,67069.93,20618.33
2025-04-04,42527.55,60145.45,17617.9
2025-04-05,51588.71,65933.31,14344.6
2025-04-06,51968.59,61616.44,9647.85
2025-04-07,49313.56,60329.54,11015.98
2025-04-08,50522.21,58957.22,8435.01
2025-04-09,50248.49,59427.5,9179.01
2025-04-10,49511.68,61328.63,11816.95
2025-04-11,52133.59,63126.91,10993.32
2025-04-12,55011.57,60367.95,5356.38
2025-04-13,52395.05,59086.21,6691.16
2025-04-14,49804.68,59235.43,9430.75
2025-04-15,48622.65,57729.82,9107.17
2025-04-16,39398.04,61897.04,22499.0
2025-04-17,34190.01,62252.84,28062.83
2025-04-18,40978.74,63259.46,22280.72
2025-04-19,48149.19,63904.41,15755.22
2025-04-20,46975.33,65971.92,18996.59
2025-04-21,49170.53,64810.92,15640.39
2025-04-22,50034.86,59288.38,9253.52
2025-04-23,61833.74,59363.92,-2469.82
2025-04-24,64566.54,56235.39,-8331.15
2025-04-25,61987.76,53744.91,-8242.85
2025-04-26,56308.65,54805.79,-1502.86
2025-04-27,48546.75,57674.09,9127.34
2025-04-28,48754.25,56562.68,7808.43
2025-04-29,45055.98,56383.67,11327.69
2025-04-30,39018.86,60361.71,21342.85
2025-05-01,36643.78,59517.01,22873.23
2025-05-02,32722.62,65799.46,33076.84
2025-05-03,40225.38,65305.51,25080.13
2025-05-04,43713.63,57842.98,14129.35
2025-05-05,43253.12,58630.34,15377.22
2025-05-06,48749.61,58184.24,9434.63
2025-05-07,48046.18,60470.88,12424.7
2025-05-08,43619.3,60641.99,17022.69
2025-05-09,49134.36,58324.47,9190.11
2025-05-10,50123.48,52945.12,2821.64
2025-05-11,44672.29,51114.01,6441.72
2025-05-12,43117.91,47506.59,4388.68
2025-05-13,38942.74,45035.52,6092.78
2025-05-14,33122.11,46285.09,13162.98
2025-05-15,37086.04,50620.49,13534.45
2025-05-16,44554.0,50664.07,6110.07
2025-05-17,38011.57,45899.66,7888.09
2025-05-18,39938.76,46501.8,6563.04
2025-05-19,36788.9,49269.11,12480.21
2025-05-20,34579.11,46310.38,11731.27
2025-05-21,32141.17,45045.41,12904.24
2025-05-22,28833.5,44324.29,15490.79
2025-05-23,29480.42,41248.45,11768.03
2025-05-24,26519.49,42752.31,16232.82
2025-05-25,28235.94,41771.39,13535.45
2025-05-26,28474.59,42483.96,14009.37
2025-05-27,27912.1,39178.88,11266.78
2025-05-28,25000.0,37529.79,12529.79
2025-05-29,25000.0,39501.22,14501.22
2025-05-30,28700.86,37966.69,9265.83
2025-05-31,30995.21,42862.55,11867.34
2025-06-01,27128.69,40867.31,13738.62
2025-06-02,27939.83,40923.58,12983.75
2025-06-03,31262.52,43077.73,11815.21
2025-06-04,25000.0,37944.12,12944.12
2025-06-05,27756.47,32277.83,4521.36
2025-06-06,25400.83,27865.69,2464.86
2025-06-07,28202.13,32242.32,4040.19
2025-06-08,25377.37,30721.56,5344.19
2025-06-09,25000.0,38667.44,13667.44
2025-06-10,25000.0,36436.57,11436.57
2025-06-11,25715.47,36661.14,10945.67
2025-06-12,27199.56,40922.7,13723.14
2025-06-13,25000.0,46137.61,21137.61
2025-06-14,28061.41,50985.61,22924.2
2025-06-15,25000.0,52778.58,27778.58
2025-06-16,25237.16,53829.31,28592.15
2025-06-17,25000.0,53471.15,28471.15
2025-06-18,25000.0,53697.91,28697.91
2025-06-19,25690.49,49905.77,24215.28
2025-06-20,25000.0,45685.04,20685.04
2025-06-21,25000.0,44324.92,19324.92
2025-06-22,29534.8,42595.27,13060.47
2025-06-23,27288.36,40185.15,12896.79
2025-06-24,30922.9,41461.43,10538.53
2025-06-25,26339.44,43384.2,17044.76
2025-06-26,28860.44,42512.18,13651.74
2025-06-27,34785.48,45893.75,11108.27
2025-06-28,25000.0,41079.34,16079.34
2025-06-29,25000.0,39591.15,14591.15
2025-06-30,27886.5,36683.78,8797.28
2025-07-01,27377.05,30620.34,3243.29
2025-07-02,29229.48,30517.96,1288.48
2025-07-03,27011.31,30312.61,3301.3
2025-07-04,27793.44,35038.19,7244.75
2025-07-05,27545.46,36648.93,9103.47
2025-07-06,32634.28,33140.05,505.77
2025-07-07,33579.91,38624.18,5044.27
2025-07-08,34783.84,41668.8,6884.96
2025-07-09,32890.55,42501.07,9610.52
2025-07-10,30905.74,40834.08,9928.34
2025-07-11,29362.62,37145.46,7782.84
2025-07-12,31305.84,35598.73,4292.89
2025-07-13,29817.92,38601.68,8783.76
2025-07-14,31347.69,43704.79,12357.1
2025-07-15,39893.78,47287.3,7393.52
2025-07-16,42795.88,44429.81,1633.93
2025-07-17,40647.81,39981.08,-666.73
2025-07-18,44853.04,39774.84,-5078.2
2025-07-19,42231.03,33878.12,-8352.91
2025-07-20,33382.35,34863.54,1481.19
2025-07-21,29570.91,34356.54,4785.63
2025-07-22,25000.0,32964.11,7964.11
2025-07-23,25000.0,28344.87,3344.87
2025-07-24,26234.61,30533.15,4298.54
2025-07-25,34013.47,29385.14,-4628.33
2025-07-26,35652.86,26462.46,-9190.4
2025-07-27,34981.48,22000.0,-12981.48
2025-07-28,38609.34,23289.58,-15319.76
2025-07-29,29751.14,29873.85,122.71
2025-07-30,31605.43,35491.78,3886.35
2025-07-31,35455.73,34218.62,-1237.11
2025-08-01,29964.39,32663.89,2699.5
2025-08-02,35553.51,34504.74,-1048.77
2025-08-03,37405.36,31787.87,-5617.49
2025-08-04,36100.31,33271.71,-2828.6
2025-08-05,39162.16,36029.2,-3132.96
2025-08-06,48514.3,39923.33,-8590.97
2025-08-07,48621.42,39477.25,-9144.17
2025-08-08,49029.42,38796.32,-10233.1
2025-08-09,46613.13,36192.29,-10420.84
2025-08-10,42924.01,34034.33,-8889.68
2025-08-11,46372.64,33926.33,-12446.31
2025-08-12,42779.45,35644.22,-7135.23
2025-08-13,43305.5,38863.13,-4442.37
2025-08-14,41631.97,36644.59,-4987.38
2025-08-15,44002.82,41570.8,-2432.02
2025-08-16,45606.35,40748.81,-4857.54
2025-08-17,49916.63,40794.69,-9121.94
2025-08-18,47657.76,38695.4,-8962.36
2025-08-19,46637.97,31812.41,-14825.56
2025-08-20,42937.71,35580.57,-7357.14
2025-08-21,41798.96,38568.79,-3230.17
2025-08-22,44114.52,38242.65,-5871.87
2025-08-23,47771.78,39033.55,-8738.23
2025-08-24,44401.64,41132.13,-3269.51
2025-08-25,48590.95,36825.78,-11765.17
2025-08-26,54361.22,36091.38,-18269.84
2025-08-27,55841.78,39441.64,-16400.14
2025-08-28,63084.23,36352.9,-26731.33
2025-08-29,59056.95,38258.66,-20798.29
2025-08-30,53606.12,35065.93,-18540.19
2025-08-31,46621.61,37704.38,-8917.23
2025-09-01,53492.41,38616.02,-14876.39
2025-09-02,56367.49,34741.63,-21625.86
2025-09-03,56173.61,39638.24,-16535.37
2025-09-04,57399.92,38391.49,-19008.43
2025-09-05,52940.59,37087.03,-15853.56
2025-09-06,63271.19,38990.39,-24280.8
2025-09-07,63361.84,43592.82,-19769.02
2025-09-08,63423.52,41287.11,-22136.41
2025-09-09,66004.08,42490.22,-23513.86
