Date,Assessment,Route,Vessel_Type,Rate_USD_per_day
2024-02-24,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,91200.0
2024-02-25,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,90000.0
2024-02-26,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,77200.0
2024-02-27,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,80400.0
2024-02-28,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,84500.0
2024-02-29,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,88500.0
2024-03-01,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,77800.0
2024-03-02,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,79400.0
2024-03-03,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,72500.0
2024-03-04,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,71400.0
2024-03-05,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,84900.0
2024-03-06,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,88200.0
2024-03-07,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,77700.0
2024-03-08,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,84700.0
2024-03-09,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,79700.0
2024-03-10,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,72200.0
2024-03-11,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,78700.0
2024-03-12,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,86400.0
2024-03-13,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,74800.0
2024-03-14,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,85500.0
2024-03-15,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,55700.0
2024-03-16,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,79200.0
2024-03-17,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,73500.0
2024-03-18,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,70200.0
2024-03-19,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,72400.0
2024-03-20,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,57300.0
2024-03-21,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,69100.0
2024-03-22,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,72600.0
2024-03-23,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,79800.0
2024-03-24,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,65300.0
2024-03-25,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,62700.0
2024-03-26,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,64300.0
2024-03-27,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,73600.0
2024-03-28,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,68900.0
2024-03-29,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,62300.0
2024-03-30,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,69000.0
2024-03-31,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,65500.0
2024-04-01,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,71000.0
2024-04-02,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,58800.0
2024-04-03,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,60800.0
2024-04-04,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,59700.0
2024-04-05,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,51600.0
2024-04-06,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,63400.0
2024-04-07,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,62500.0
2024-04-08,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,60200.0
2024-04-09,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,57900.0
2024-04-10,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,49000.0
2024-04-11,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,55400.0
2024-04-12,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,55400.0
2024-04-13,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,51500.0
2024-04-14,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,55400.0
2024-04-15,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,58800.0
2024-04-16,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,68600.0
2024-04-17,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,56000.0
2024-04-18,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,56000.0
2024-04-19,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,53100.0
2024-04-20,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,39700.0
2024-04-21,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,52300.0
2024-04-22,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,52400.0
2024-04-23,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,68600.0
2024-04-24,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,49500.0
2024-04-25,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,52300.0
2024-04-26,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,49400.0
2024-04-27,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,40900.0
2024-04-28,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,56600.0
2024-04-29,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,53300.0
2024-04-30,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,53000.0
2024-05-01,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,40600.0
2024-05-02,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,56200.0
2024-05-03,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,36000.0
2024-05-04,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,49400.0
2024-05-05,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,60100.0
2024-05-06,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,37400.0
2024-05-07,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,39800.0
2024-05-08,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,44000.0
2024-05-09,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,39200.0
2024-05-10,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,31400.0
2024-05-11,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,42300.0
2024-05-12,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,33900.0
2024-05-13,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,44100.0
2024-05-14,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,33900.0
2024-05-15,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,50700.0
2024-05-16,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,33900.0
2024-05-17,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,36700.0
2024-05-18,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,44200.0
2024-05-19,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,29400.0
2024-05-20,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,39200.0
2024-05-21,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,46400.0
2024-05-22,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,25500.0
2024-05-23,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,37700.0
2024-05-24,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,37800.0
2024-05-25,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,41000.0
2024-05-26,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,26500.0
2024-05-27,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,25500.0
2024-05-28,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,38100.0
2024-05-29,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,36100.0
2024-05-30,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,35400.0
2024-05-31,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,35800.0
2024-06-01,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,28200.0
2024-06-02,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,34300.0
2024-06-03,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,34400.0
2024-06-04,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,27000.0
2024-06-05,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,44800.0
2024-06-06,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,34700.0
2024-06-07,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,22800.0
2024-06-08,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,35400.0
2024-06-09,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,23800.0
2024-06-10,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,35800.0
2024-06-11,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,38200.0
2024-06-12,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,24100.0
2024-06-13,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,36300.0
2024-06-14,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,32300.0
2024-06-15,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,34900.0
2024-06-16,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,42200.0
2024-06-17,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,27000.0
2024-06-18,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,23300.0
2024-06-19,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,22200.0
2024-06-20,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,22500.0
2024-06-21,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,27500.0
2024-06-22,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,30300.0
2024-06-23,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,29700.0
2024-06-24,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,33400.0
2024-06-25,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,27600.0
2024-06-26,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,37600.0
2024-06-27,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,25500.0
2024-06-28,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,46300.0
2024-06-29,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,31600.0
2024-06-30,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,21100.0
2024-07-01,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,20000.0
2024-07-02,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,30400.0
2024-07-03,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,25400.0
2024-07-04,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,32000.0
2024-07-05,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,30300.0
2024-07-06,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,26400.0
2024-07-07,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,21000.0
2024-07-08,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,20000.0
2024-07-09,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,23900.0
2024-07-10,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,33000.0
2024-07-11,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,28600.0
2024-07-12,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,20000.0
2024-07-13,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,28400.0
2024-07-14,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,30000.0
2024-07-15,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,21200.0
2024-07-16,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,28600.0
2024-07-17,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,28000.0
2024-07-18,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,20000.0
2024-07-19,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,30400.0
2024-07-20,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,31900.0
2024-07-21,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,35700.0
2024-07-22,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,35700.0
2024-07-23,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,20000.0
2024-07-24,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,22100.0
2024-07-25,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,32500.0
2024-07-26,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,32700.0
2024-07-27,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,32900.0
2024-07-28,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,56500.0
2024-07-29,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,33700.0
2024-07-30,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,37900.0
2024-07-31,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,36900.0
2024-08-01,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,35000.0
2024-08-02,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,28500.0
2024-08-03,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,36300.0
2024-08-04,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,25900.0
2024-08-05,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,29900.0
2024-08-06,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,28500.0
2024-08-07,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,32800.0
2024-08-08,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,48700.0
2024-08-09,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,20000.0
2024-08-10,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,38000.0
2024-08-11,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,22300.0
2024-08-12,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,30600.0
2024-08-13,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,41900.0
2024-08-14,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,35100.0
2024-08-15,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,27500.0
2024-08-16,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,30400.0
2024-08-17,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,40600.0
2024-08-18,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,31100.0
2024-08-19,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,38200.0
2024-08-20,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,37400.0
2024-08-21,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,33000.0
2024-08-22,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,53000.0
2024-08-23,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,42800.0
2024-08-24,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,24700.0
2024-08-25,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,40600.0
2024-08-26,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,35100.0
2024-08-27,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,46200.0
2024-08-28,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,35200.0
2024-08-29,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,40400.0
2024-08-30,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,45200.0
2024-08-31,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,48300.0
2024-09-01,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,34300.0
2024-09-02,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,40900.0
2024-09-03,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,40400.0
2024-09-04,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,39700.0
2024-09-05,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,57100.0
2024-09-06,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,48100.0
2024-09-07,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,37000.0
2024-09-08,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,52800.0
2024-09-09,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,61800.0
2024-09-10,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,54700.0
2024-09-11,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,37400.0
2024-09-12,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,45200.0
2024-09-13,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,58000.0
2024-09-14,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,44800.0
2024-09-15,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,53400.0
2024-09-16,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,56300.0
2024-09-17,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,45000.0
2024-09-18,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,51600.0
2024-09-19,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,29900.0
2024-09-20,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,46000.0
2024-09-21,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,52000.0
2024-09-22,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,45700.0
2024-09-23,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,66400.0
2024-09-24,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,45600.0
2024-09-25,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,53100.0
2024-09-26,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,57700.0
2024-09-27,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,67500.0
2024-09-28,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,48000.0
2024-09-29,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,66800.0
2024-09-30,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,59300.0
2024-10-01,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,53000.0
2024-10-02,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,63700.0
2024-10-03,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,62500.0
2024-10-04,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,57500.0
2024-10-05,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,62800.0
2024-10-06,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,60200.0
2024-10-07,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,64300.0
2024-10-08,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,68800.0
2024-10-09,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,75800.0
2024-10-10,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,56700.0
2024-10-11,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,80900.0
2024-10-12,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,52900.0
2024-10-13,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,66100.0
2024-10-14,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,71900.0
2024-10-15,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,70400.0
2024-10-16,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,64600.0
2024-10-17,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,68100.0
2024-10-18,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,66800.0
2024-10-19,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,66700.0
2024-10-20,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,77300.0
2024-10-21,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,74500.0
2024-10-22,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,67700.0
2024-10-23,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,79500.0
2024-10-24,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,75900.0
2024-10-25,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,80000.0
2024-10-26,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,79300.0
2024-10-27,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,69700.0
2024-10-28,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,72100.0
2024-10-29,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,81900.0
